You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0866
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d5_s0281_P2_v2", "cached_question": "Cơ sở đào tạo được quy định giới hạn cảnh báo học tập tối đa bao nhiêu lần cảnh báo liên tiếp?", "cached_answer": "Cơ sở đào tạo không được quy định giới hạn vượt quá 3 lần cảnh báo học tập liên tiếp.", "new_query": "Cho tôi biết số lần cảnh báo học tập liên tiếp tối đa mà cơ sở đào tạo được quy định."}
{"pair_id": "d5_s0282_N1_v2", "cached_question": "Theo hình thức niên chế, sinh viên năm thứ hai cần đạt điểm trung bình năm học tối thiểu bao nhiêu (thang điểm 10) để được học tiếp lên năm sau?", "cached_answer": "Sinh viên năm thứ hai cần đạt điểm trung bình năm học từ 4,00 trở lên (theo thang điểm 10) để được học tiếp lên năm sau.", "new_query": "Theo hình thức niên chế, điểm trung bình năm học của sinh viên năm thứ hai được tính như thế nào?"}
{"pair_id": "d5_s0282_N2_v1", "cached_question": "Theo hình thức niên chế, sinh viên năm thứ hai cần đạt điểm trung bình năm học tối thiểu bao nhiêu (thang điểm 10) để được học tiếp lên năm sau?", "cached_answer": "Sinh viên năm thứ hai cần đạt điểm trung bình năm học từ 4,00 trở lên (theo thang điểm 10) để được học tiếp lên năm sau.", "new_query": "Theo hình thức niên chế, sinh viên năm thứ hai ngành đào tạo giáo viên cần điểm trung bình năm học tối thiểu bao nhiêu để được học tiếp lên năm sau?"}
{"pair_id": "d5_s0282_N2_v2", "cached_question": "Theo hình thức niên chế, sinh viên năm thứ hai cần đạt điểm trung bình năm học tối thiểu bao nhiêu (thang điểm 10) để được học tiếp lên năm sau?", "cached_answer": "Sinh viên năm thứ hai cần đạt điểm trung bình năm học từ 4,00 trở lên (theo thang điểm 10) để được học tiếp lên năm sau.", "new_query": "Theo hình thức niên chế, sinh viên năm thứ hai học cùng lúc hai chương trình cần điểm trung bình năm học tối thiểu bao nhiêu để được học tiếp?"}
{"pair_id": "d5_s0282_N3_v1", "cached_question": "Theo hình thức niên chế, sinh viên năm thứ hai cần đạt điểm trung bình năm học tối thiểu bao nhiêu (thang điểm 10) để được học tiếp lên năm sau?", "cached_answer": "Sinh viên năm thứ hai cần đạt điểm trung bình năm học từ 4,00 trở lên (theo thang điểm 10) để được học tiếp lên năm sau.", "new_query": "Theo hình thức niên chế, sinh viên năm thứ ba cần đạt điểm trung bình năm học tối thiểu bao nhiêu theo thang điểm 10 để được học tiếp lên năm sau?"}
{"pair_id": "d5_s0282_N3_v2", "cached_question": "Theo hình thức niên chế, sinh viên năm thứ hai cần đạt điểm trung bình năm học tối thiểu bao nhiêu (thang điểm 10) để được học tiếp lên năm sau?", "cached_answer": "Sinh viên năm thứ hai cần đạt điểm trung bình năm học từ 4,00 trở lên (theo thang điểm 10) để được học tiếp lên năm sau.", "new_query": "Theo hình thức tín chỉ, sinh viên năm thứ hai cần đạt điểm trung bình năm học tối thiểu bao nhiêu theo thang điểm 10 để được học tiếp lên năm sau?"}
{"pair_id": "d5_s0282_N5_v1", "cached_question": "Theo hình thức niên chế, sinh viên năm thứ hai cần đạt điểm trung bình năm học tối thiểu bao nhiêu (thang điểm 10) để được học tiếp lên năm sau?", "cached_answer": "Sinh viên năm thứ hai cần đạt điểm trung bình năm học từ 4,00 trở lên (theo thang điểm 10) để được học tiếp lên năm sau.", "new_query": "Theo hình thức niên chế, điểm trung bình năm học tối đa mà sinh viên năm thứ hai có thể đạt là bao nhiêu theo thang điểm 10?"}
{"pair_id": "d5_s0282_N6_v1", "cached_question": "Theo hình thức niên chế, sinh viên năm thứ hai cần đạt điểm trung bình năm học tối thiểu bao nhiêu (thang điểm 10) để được học tiếp lên năm sau?", "cached_answer": "Sinh viên năm thứ hai cần đạt điểm trung bình năm học từ 4,00 trở lên (theo thang điểm 10) để được học tiếp lên năm sau.", "new_query": "Theo hình thức niên chế, sinh viên năm thứ hai không đủ điểm trung bình thì phải học lại những học phần nào?"}
{"pair_id": "d5_s0282_P2_v1", "cached_question": "Theo hình thức niên chế, sinh viên năm thứ hai cần đạt điểm trung bình năm học tối thiểu bao nhiêu (thang điểm 10) để được học tiếp lên năm sau?", "cached_answer": "Sinh viên năm thứ hai cần đạt điểm trung bình năm học từ 4,00 trở lên (theo thang điểm 10) để được học tiếp lên năm sau.", "new_query": "Cho tôi biết ngưỡng điểm trung bình năm học theo thang điểm 10 mà sinh viên năm thứ hai đào tạo theo niên chế phải đạt để được học tiếp lên năm sau."}
{"pair_id": "d5_s0282_P2_v3", "cached_question": "Theo hình thức niên chế, sinh viên năm thứ hai cần đạt điểm trung bình năm học tối thiểu bao nhiêu (thang điểm 10) để được học tiếp lên năm sau?", "cached_answer": "Sinh viên năm thứ hai cần đạt điểm trung bình năm học từ 4,00 trở lên (theo thang điểm 10) để được học tiếp lên năm sau.", "new_query": "Điểm trung bình năm học tối thiểu theo thang điểm 10 nào là điều kiện để sinh viên năm thứ hai theo niên chế được lên năm kế tiếp?"}
{"pair_id": "d5_s0282_P2_v4", "cached_question": "Theo hình thức niên chế, sinh viên năm thứ hai cần đạt điểm trung bình năm học tối thiểu bao nhiêu (thang điểm 10) để được học tiếp lên năm sau?", "cached_answer": "Sinh viên năm thứ hai cần đạt điểm trung bình năm học từ 4,00 trở lên (theo thang điểm 10) để được học tiếp lên năm sau.", "new_query": "Sinh viên năm thứ hai theo niên chế được học tiếp lên năm sau khi điểm trung bình năm học đạt từ bao nhiêu trở lên theo thang điểm 10?"}
{"pair_id": "d5_s0283_N2_v2", "cached_question": "Theo niên chế, sinh viên bị buộc thôi học khi điểm trung bình chung tích lũy dưới bao nhiêu sau 3 năm học?", "cached_answer": "Sinh viên bị buộc thôi học nếu điểm trung bình chung tích lũy dưới 4,00 sau 3 năm học.", "new_query": "Theo niên chế, sinh viên lĩnh vực sức khỏe bị buộc thôi học khi điểm trung bình chung tích lũy dưới bao nhiêu sau 3 năm học?"}
{"pair_id": "d5_s0283_N3_v2", "cached_question": "Theo niên chế, sinh viên bị buộc thôi học khi điểm trung bình chung tích lũy dưới bao nhiêu sau 3 năm học?", "cached_answer": "Sinh viên bị buộc thôi học nếu điểm trung bình chung tích lũy dưới 4,00 sau 3 năm học.", "new_query": "Theo niên chế, sinh viên bị buộc thôi học khi điểm trung bình chung tích lũy dưới bao nhiêu sau 2 năm học?"}
