You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0544
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d2_s0141_P3_v3", "cached_question": "What are the three resolution modes defined in the paper's generative model?", "cached_answer": "String-matching (str), precise-construct (prec), and attribute-matching (attr).", "new_query": "papers generative model has 3 resolution modes, wat r they"}
{"pair_id": "d2_s0141_P3_v4", "cached_question": "What are the three resolution modes defined in the paper's generative model?", "cached_answer": "String-matching (str), precise-construct (prec), and attribute-matching (attr).", "new_query": "3 resolutn modes of the generative model in the paper?"}
{"pair_id": "d2_s0144_N2_v2", "cached_question": "What improvement in MAP score did the RNN encoder approach achieve over an information retrieval-based approach on SemEval-2016?", "cached_answer": "A 10% improvement in MAP score.", "new_query": "What improvement in MAP score did the RNN encoder approach achieve over an information retrieval-based approach across all SemEval editions?"}
{"pair_id": "d2_s0144_N3_v2", "cached_question": "What improvement in MAP score did the RNN encoder approach achieve over an information retrieval-based approach on SemEval-2016?", "cached_answer": "A 10% improvement in MAP score.", "new_query": "What improvement in MAP score did the CNN encoder approach achieve over an information retrieval-based approach on SemEval-2016?"}
{"pair_id": "d2_s0144_N4_v1", "cached_question": "What improvement in MAP score did the RNN encoder approach achieve over an information retrieval-based approach on SemEval-2016?", "cached_answer": "A 10% improvement in MAP score.", "new_query": "What degradation in MAP score did the RNN encoder approach show relative to an information retrieval-based approach on SemEval-2016?"}
{"pair_id": "d2_s0144_N4_v3", "cached_question": "What improvement in MAP score did the RNN encoder approach achieve over an information retrieval-based approach on SemEval-2016?", "cached_answer": "A 10% improvement in MAP score.", "new_query": "By how much did the RNN encoder approach's MAP score fall short of the information retrieval-based approach on SemEval-2016?"}
{"pair_id": "d2_s0144_N5_v2", "cached_question": "What improvement in MAP score did the RNN encoder approach achieve over an information retrieval-based approach on SemEval-2016?", "cached_answer": "A 10% improvement in MAP score.", "new_query": "What is the maximum MAP improvement the RNN encoder approach achieved over the IR-based approach across SemEval-2016 subtasks?"}
{"pair_id": "d2_s0144_N6_v1", "cached_question": "What improvement in MAP score did the RNN encoder approach achieve over an information retrieval-based approach on SemEval-2016?", "cached_answer": "A 10% improvement in MAP score.", "new_query": "Why did the RNN encoder approach outperform the information retrieval-based approach on SemEval-2016?"}
{"pair_id": "d2_s0144_P1_v2", "cached_question": "What improvement in MAP score did the RNN encoder approach achieve over an information retrieval-based approach on SemEval-2016?", "cached_answer": "A 10% improvement in MAP score.", "new_query": "What gain in MAP did the RNN encoder method obtain over an information retrieval baseline on SemEval-2016?"}
{"pair_id": "d2_s0144_P1_v3", "cached_question": "What improvement in MAP score did the RNN encoder approach achieve over an information retrieval-based approach on SemEval-2016?", "cached_answer": "A 10% improvement in MAP score.", "new_query": "By what margin did the RNN encoder outperform the information retrieval-based method on MAP for SemEval-2016?"}
{"pair_id": "d2_s0144_P1_v4", "cached_question": "What improvement in MAP score did the RNN encoder approach achieve over an information retrieval-based approach on SemEval-2016?", "cached_answer": "A 10% improvement in MAP score.", "new_query": "What was the MAP score increase of the RNN encoder approach relative to the IR-based approach on SemEval-2016?"}
