You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0681
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d3_s0506_N2_v2", "cached_question": "In what year was Create React App originally released?", "cached_answer": "Create React App was released in 2016.", "new_query": "In what years were Create React App and its successor toolchains released?"}
{"pair_id": "d3_s0506_N3_v2", "cached_question": "In what year was Create React App originally released?", "cached_answer": "Create React App was released in 2016.", "new_query": "In what year was Create React Native App originally released?"}
{"pair_id": "d3_s0506_N4_v1", "cached_question": "In what year was Create React App originally released?", "cached_answer": "Create React App was released in 2016.", "new_query": "In what year was Create React App deprecated?"}
{"pair_id": "d3_s0506_N5_v1", "cached_question": "In what year was Create React App originally released?", "cached_answer": "Create React App was released in 2016.", "new_query": "What is the most recent year Create React App received a release?"}
{"pair_id": "d3_s0506_N5_v4", "cached_question": "In what year was Create React App originally released?", "cached_answer": "Create React App was released in 2016.", "new_query": "In what year was the last major version of Create React App released?"}
{"pair_id": "d3_s0506_P2_v1", "cached_question": "In what year was Create React App originally released?", "cached_answer": "Create React App was released in 2016.", "new_query": "Tell me the year Create React App was originally released."}
{"pair_id": "d3_s0506_P2_v3", "cached_question": "In what year was Create React App originally released?", "cached_answer": "Create React App was released in 2016.", "new_query": "I'm curious about the original release year of Create React App."}
{"pair_id": "d3_s0506_P2_v4", "cached_question": "In what year was Create React App originally released?", "cached_answer": "Create React App was released in 2016.", "new_query": "Give me the year of the first Create React App release."}
{"pair_id": "d3_s0506_P3_v1", "cached_question": "In what year was Create React App originally released?", "cached_answer": "Create React App was released in 2016.", "new_query": "wat yr was create react app orignally released"}
{"pair_id": "d3_s0507_N3_v1", "cached_question": "Why did the React team decide to deprecate Create React App rather than evolve it into a framework?", "cached_answer": "Because Create React App currently has no active maintainers, and many existing frameworks already solve the problems it would need to evolve to address.", "new_query": "Why did the React team decide to deprecate the React Native CLI rather than evolve it into a framework?"}
{"pair_id": "d3_s0507_N4_v1", "cached_question": "Why did the React team decide to deprecate Create React App rather than evolve it into a framework?", "cached_answer": "Because Create React App currently has no active maintainers, and many existing frameworks already solve the problems it would need to evolve to address.", "new_query": "Why did the React team decide to keep maintaining Create React App instead of deprecating it?"}
{"pair_id": "d3_s0507_P1_v1", "cached_question": "Why did the React team decide to deprecate Create React App rather than evolve it into a framework?", "cached_answer": "Because Create React App currently has no active maintainers, and many existing frameworks already solve the problems it would need to evolve to address.", "new_query": "Why did the React team choose to sunset Create React App instead of turning it into a framework?"}
{"pair_id": "d3_s0507_P1_v3", "cached_question": "Why did the React team decide to deprecate Create React App rather than evolve it into a framework?", "cached_answer": "Because Create React App currently has no active maintainers, and many existing frameworks already solve the problems it would need to evolve to address.", "new_query": "Why was Create React App retired instead of being developed into a framework by the React team?"}
