You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0631
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d3_s0075_N6_v2", "cached_question": "What are the two main sections of the new react.dev documentation?", "cached_answer": "Learn React, a self-paced course teaching React from scratch, and API Reference, which provides details and usage examples for every React API.", "new_query": "In which languages is the new react.dev documentation available?"}
{"pair_id": "d3_s0075_P1_v1", "cached_question": "What are the two main sections of the new react.dev documentation?", "cached_answer": "Learn React, a self-paced course teaching React from scratch, and API Reference, which provides details and usage examples for every React API.", "new_query": "Which two primary sections make up the new react.dev docs?"}
{"pair_id": "d3_s0075_P1_v2", "cached_question": "What are the two main sections of the new react.dev documentation?", "cached_answer": "Learn React, a self-paced course teaching React from scratch, and API Reference, which provides details and usage examples for every React API.", "new_query": "The new react.dev documentation is split into two main parts — what are they?"}
{"pair_id": "d3_s0075_P1_v3", "cached_question": "What are the two main sections of the new react.dev documentation?", "cached_answer": "Learn React, a self-paced course teaching React from scratch, and API Reference, which provides details and usage examples for every React API.", "new_query": "What are the two principal sections of react.dev's new documentation site?"}
{"pair_id": "d3_s0075_P1_v4", "cached_question": "What are the two main sections of the new react.dev documentation?", "cached_answer": "Learn React, a self-paced course teaching React from scratch, and API Reference, which provides details and usage examples for every React API.", "new_query": "Name the two core sections the new react.dev docs are organized into."}
{"pair_id": "d3_s0075_P2_v3", "cached_question": "What are the two main sections of the new react.dev documentation?", "cached_answer": "Learn React, a self-paced course teaching React from scratch, and API Reference, which provides details and usage examples for every React API.", "new_query": "I am looking at the new react.dev docs — which two sections form its structure?"}
{"pair_id": "d3_s0075_P3_v2", "cached_question": "What are the two main sections of the new react.dev documentation?", "cached_answer": "Learn React, a self-paced course teaching React from scratch, and API Reference, which provides details and usage examples for every React API.", "new_query": "new react.dev documentaion — the two man sections are what"}
{"pair_id": "d3_s0075_P3_v3", "cached_question": "What are the two main sections of the new react.dev documentation?", "cached_answer": "Learn React, a self-paced course teaching React from scratch, and API Reference, which provides details and usage examples for every React API.", "new_query": "whats the two main secitons of new react.dev docs??"}
{"pair_id": "d3_s0075_P3_v4", "cached_question": "What are the two main sections of the new react.dev documentation?", "cached_answer": "Learn React, a self-paced course teaching React from scratch, and API Reference, which provides details and usage examples for every React API.", "new_query": "react.dev docs main sections... 2 of them right, which ones"}
{"pair_id": "d3_s0078_N3_v1", "cached_question": "What versions of Apache and mod_wsgi are required to authenticate against Django's user database from Apache?", "cached_answer": "Apache version 2.2 or later and mod_wsgi version 2.0 or later are required.", "new_query": "What versions of Apache and mod_python are required to authenticate against Django's user database from Apache?"}
{"pair_id": "d3_s0078_N3_v2", "cached_question": "What versions of Apache and mod_wsgi are required to authenticate against Django's user database from Apache?", "cached_answer": "Apache version 2.2 or later and mod_wsgi version 2.0 or later are required.", "new_query": "What versions of Apache and mod_wsgi are required to authenticate against Flask's user database from Apache?"}
