You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0849
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d5_s0192_N3_v1", "cached_question": "Nghiên cứu sinh bị buộc thôi học trong những trường hợp nào?", "cached_answer": "Nghiên cứu sinh bị buộc thôi học nếu không hoàn thành chương trình đào tạo trong thời gian tối đa theo quy định, hoặc vi phạm nghiêm trọng quy định về học tập, nghiên cứu, liêm chính học thuật hoặc pháp luật.", "new_query": "Học viên cao học bị buộc thôi học trong những trường hợp nào?"}
{"pair_id": "d5_s0192_N3_v2", "cached_question": "Nghiên cứu sinh bị buộc thôi học trong những trường hợp nào?", "cached_answer": "Nghiên cứu sinh bị buộc thôi học nếu không hoàn thành chương trình đào tạo trong thời gian tối đa theo quy định, hoặc vi phạm nghiêm trọng quy định về học tập, nghiên cứu, liêm chính học thuật hoặc pháp luật.", "new_query": "Sinh viên đại học bị buộc thôi học trong những trường hợp nào?"}
{"pair_id": "d5_s0192_N4_v1", "cached_question": "Nghiên cứu sinh bị buộc thôi học trong những trường hợp nào?", "cached_answer": "Nghiên cứu sinh bị buộc thôi học nếu không hoàn thành chương trình đào tạo trong thời gian tối đa theo quy định, hoặc vi phạm nghiêm trọng quy định về học tập, nghiên cứu, liêm chính học thuật hoặc pháp luật.", "new_query": "Nghiên cứu sinh không bị buộc thôi học trong những trường hợp nào?"}
{"pair_id": "d5_s0192_N5_v1", "cached_question": "Nghiên cứu sinh bị buộc thôi học trong những trường hợp nào?", "cached_answer": "Nghiên cứu sinh bị buộc thôi học nếu không hoàn thành chương trình đào tạo trong thời gian tối đa theo quy định, hoặc vi phạm nghiêm trọng quy định về học tập, nghiên cứu, liêm chính học thuật hoặc pháp luật.", "new_query": "Nghiên cứu sinh không hoàn thành chương trình trong thời gian tối thiểu thì có bị buộc thôi học không?"}
{"pair_id": "d5_s0192_N6_v1", "cached_question": "Nghiên cứu sinh bị buộc thôi học trong những trường hợp nào?", "cached_answer": "Nghiên cứu sinh bị buộc thôi học nếu không hoàn thành chương trình đào tạo trong thời gian tối đa theo quy định, hoặc vi phạm nghiêm trọng quy định về học tập, nghiên cứu, liêm chính học thuật hoặc pháp luật.", "new_query": "Nghiên cứu sinh bị buộc thôi học có được hoàn lại học phí không?"}
{"pair_id": "d5_s0192_N6_v2", "cached_question": "Nghiên cứu sinh bị buộc thôi học trong những trường hợp nào?", "cached_answer": "Nghiên cứu sinh bị buộc thôi học nếu không hoàn thành chương trình đào tạo trong thời gian tối đa theo quy định, hoặc vi phạm nghiêm trọng quy định về học tập, nghiên cứu, liêm chính học thuật hoặc pháp luật.", "new_query": "Ai có thẩm quyền ra quyết định buộc nghiên cứu sinh thôi học?"}
{"pair_id": "d5_s0192_P1_v1", "cached_question": "Nghiên cứu sinh bị buộc thôi học trong những trường hợp nào?", "cached_answer": "Nghiên cứu sinh bị buộc thôi học nếu không hoàn thành chương trình đào tạo trong thời gian tối đa theo quy định, hoặc vi phạm nghiêm trọng quy định về học tập, nghiên cứu, liêm chính học thuật hoặc pháp luật.", "new_query": "Những trường hợp nào khiến nghiên cứu sinh bị đuổi học?"}
{"pair_id": "d5_s0192_P1_v2", "cached_question": "Nghiên cứu sinh bị buộc thôi học trong những trường hợp nào?", "cached_answer": "Nghiên cứu sinh bị buộc thôi học nếu không hoàn thành chương trình đào tạo trong thời gian tối đa theo quy định, hoặc vi phạm nghiêm trọng quy định về học tập, nghiên cứu, liêm chính học thuật hoặc pháp luật.", "new_query": "Nghiên cứu sinh bị chấm dứt việc học trong các tình huống nào?"}
{"pair_id": "d5_s0192_P1_v3", "cached_question": "Nghiên cứu sinh bị buộc thôi học trong những trường hợp nào?", "cached_answer": "Nghiên cứu sinh bị buộc thôi học nếu không hoàn thành chương trình đào tạo trong thời gian tối đa theo quy định, hoặc vi phạm nghiêm trọng quy định về học tập, nghiên cứu, liêm chính học thuật hoặc pháp luật.", "new_query": "Lý do nào dẫn đến việc nghiên cứu sinh bị buộc thôi học?"}
{"pair_id": "d5_s0192_P1_v4", "cached_question": "Nghiên cứu sinh bị buộc thôi học trong những trường hợp nào?", "cached_answer": "Nghiên cứu sinh bị buộc thôi học nếu không hoàn thành chương trình đào tạo trong thời gian tối đa theo quy định, hoặc vi phạm nghiêm trọng quy định về học tập, nghiên cứu, liêm chính học thuật hoặc pháp luật.", "new_query": "Các căn cứ để buộc nghiên cứu sinh thôi học là gì?"}
{"pair_id": "d5_s0192_P2_v1", "cached_question": "Nghiên cứu sinh bị buộc thôi học trong những trường hợp nào?", "cached_answer": "Nghiên cứu sinh bị buộc thôi học nếu không hoàn thành chương trình đào tạo trong thời gian tối đa theo quy định, hoặc vi phạm nghiêm trọng quy định về học tập, nghiên cứu, liêm chính học thuật hoặc pháp luật.", "new_query": "Hãy liệt kê các trường hợp nghiên cứu sinh bị buộc thôi học."}
