You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0539
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d2_s0106_P2_v1", "cached_question": "On which three NLP tasks is the CLSTM model evaluated in this paper?", "cached_answer": "Word prediction, next sentence selection, and sentence topic prediction.", "new_query": "List the three NLP tasks used to evaluate CLSTM in this paper."}
{"pair_id": "d2_s0106_P2_v2", "cached_question": "On which three NLP tasks is the CLSTM model evaluated in this paper?", "cached_answer": "Word prediction, next sentence selection, and sentence topic prediction.", "new_query": "CLSTM is evaluated on three NLP tasks in this paper — which ones?"}
{"pair_id": "d2_s0106_P2_v3", "cached_question": "On which three NLP tasks is the CLSTM model evaluated in this paper?", "cached_answer": "Word prediction, next sentence selection, and sentence topic prediction.", "new_query": "I need the names of the three NLP tasks on which the paper's CLSTM model was tested."}
{"pair_id": "d2_s0106_P2_v4", "cached_question": "On which three NLP tasks is the CLSTM model evaluated in this paper?", "cached_answer": "Word prediction, next sentence selection, and sentence topic prediction.", "new_query": "Which three NLP tasks were chosen by the authors to evaluate CLSTM?"}
{"pair_id": "d2_s0106_P3_v1", "cached_question": "On which three NLP tasks is the CLSTM model evaluated in this paper?", "cached_answer": "Word prediction, next sentence selection, and sentence topic prediction.", "new_query": "wat 3 nlp tasks is clstm evaluated on in this paper"}
{"pair_id": "d2_s0107_N1_v1", "cached_question": "How much did CLSTM improve accuracy over the baseline LSTM on the next sentence selection task, and on which datasets?", "cached_answer": "CLSTM achieved a 21% relative accuracy improvement on the Wikipedia dataset and an 18% improvement on the Google News dataset compared to the baseline LSTM.", "new_query": "What does CLSTM add on top of the baseline LSTM architecture for next sentence selection?"}
{"pair_id": "d2_s0107_N2_v1", "cached_question": "How much did CLSTM improve accuracy over the baseline LSTM on the next sentence selection task, and on which datasets?", "cached_answer": "CLSTM achieved a 21% relative accuracy improvement on the Wikipedia dataset and an 18% improvement on the Google News dataset compared to the baseline LSTM.", "new_query": "On the Wikipedia dataset only, how much did CLSTM improve accuracy over the baseline LSTM on next sentence selection?"}
{"pair_id": "d2_s0107_N2_v2", "cached_question": "How much did CLSTM improve accuracy over the baseline LSTM on the next sentence selection task, and on which datasets?", "cached_answer": "CLSTM achieved a 21% relative accuracy improvement on the Wikipedia dataset and an 18% improvement on the Google News dataset compared to the baseline LSTM.", "new_query": "How much did CLSTM improve accuracy over the baseline LSTM across all evaluated tasks, and on which datasets?"}
{"pair_id": "d2_s0107_N3_v1", "cached_question": "How much did CLSTM improve accuracy over the baseline LSTM on the next sentence selection task, and on which datasets?", "cached_answer": "CLSTM achieved a 21% relative accuracy improvement on the Wikipedia dataset and an 18% improvement on the Google News dataset compared to the baseline LSTM.", "new_query": "How much did CLSTM improve accuracy over the baseline LSTM on the word prediction task, and on which datasets?"}
{"pair_id": "d2_s0107_N4_v1", "cached_question": "How much did CLSTM improve accuracy over the baseline LSTM on the next sentence selection task, and on which datasets?", "cached_answer": "CLSTM achieved a 21% relative accuracy improvement on the Wikipedia dataset and an 18% improvement on the Google News dataset compared to the baseline LSTM.", "new_query": "On which datasets did CLSTM fail to improve accuracy over the baseline LSTM for next sentence selection?"}
{"pair_id": "d2_s0107_N4_v2", "cached_question": "How much did CLSTM improve accuracy over the baseline LSTM on the next sentence selection task, and on which datasets?", "cached_answer": "CLSTM achieved a 21% relative accuracy improvement on the Wikipedia dataset and an 18% improvement on the Google News dataset compared to the baseline LSTM.", "new_query": "How much did CLSTM's accuracy drop relative to the baseline LSTM on next sentence selection, and on which datasets?"}
{"pair_id": "d2_s0107_P1_v1", "cached_question": "How much did CLSTM improve accuracy over the baseline LSTM on the next sentence selection task, and on which datasets?", "cached_answer": "CLSTM achieved a 21% relative accuracy improvement on the Wikipedia dataset and an 18% improvement on the Google News dataset compared to the baseline LSTM.", "new_query": "By how much did CLSTM beat the baseline LSTM on next sentence selection, and on which datasets?"}
{"pair_id": "d2_s0107_P1_v3", "cached_question": "How much did CLSTM improve accuracy over the baseline LSTM on the next sentence selection task, and on which datasets?", "cached_answer": "CLSTM achieved a 21% relative accuracy improvement on the Wikipedia dataset and an 18% improvement on the Google News dataset compared to the baseline LSTM.", "new_query": "On which datasets and by what margin did CLSTM outperform the baseline LSTM at next sentence selection?"}
{"pair_id": "d2_s0107_P1_v4", "cached_question": "How much did CLSTM improve accuracy over the baseline LSTM on the next sentence selection task, and on which datasets?", "cached_answer": "CLSTM achieved a 21% relative accuracy improvement on the Wikipedia dataset and an 18% improvement on the Google News dataset compared to the baseline LSTM.", "new_query": "How much better was CLSTM than the baseline LSTM on the next sentence selection task, and for which datasets?"}
{"pair_id": "d2_s0107_P2_v1", "cached_question": "How much did CLSTM improve accuracy over the baseline LSTM on the next sentence selection task, and on which datasets?", "cached_answer": "CLSTM achieved a 21% relative accuracy improvement on the Wikipedia dataset and an 18% improvement on the Google News dataset compared to the baseline LSTM.", "new_query": "Give me CLSTM's accuracy improvement over the baseline LSTM on next sentence selection, along with the datasets."}
{"pair_id": "d2_s0107_P2_v2", "cached_question": "How much did CLSTM improve accuracy over the baseline LSTM on the next sentence selection task, and on which datasets?", "cached_answer": "CLSTM achieved a 21% relative accuracy improvement on the Wikipedia dataset and an 18% improvement on the Google News dataset compared to the baseline LSTM.", "new_query": "The baseline LSTM was beaten by CLSTM on next sentence selection by how much, and on which datasets?"}
{"pair_id": "d2_s0107_P2_v3", "cached_question": "How much did CLSTM improve accuracy over the baseline LSTM on the next sentence selection task, and on which datasets?", "cached_answer": "CLSTM achieved a 21% relative accuracy improvement on the Wikipedia dataset and an 18% improvement on the Google News dataset compared to the baseline LSTM.", "new_query": "For next sentence selection, what were CLSTM's improvements over the baseline LSTM and the datasets involved?"}
{"pair_id": "d2_s0107_P2_v4", "cached_question": "How much did CLSTM improve accuracy over the baseline LSTM on the next sentence selection task, and on which datasets?", "cached_answer": "CLSTM achieved a 21% relative accuracy improvement on the Wikipedia dataset and an 18% improvement on the Google News dataset compared to the baseline LSTM.", "new_query": "I need both the datasets and CLSTM's accuracy gain over the baseline LSTM on next sentence selection."}
{"pair_id": "d2_s0107_P3_v1", "cached_question": "How much did CLSTM improve accuracy over the baseline LSTM on the next sentence selection task, and on which datasets?", "cached_answer": "CLSTM achieved a 21% relative accuracy improvement on the Wikipedia dataset and an 18% improvement on the Google News dataset compared to the baseline LSTM.", "new_query": "how much did clstm improve accuracy over baseline lstm on next sentence selection n on which datasets?"}
{"pair_id": "d2_s0107_P3_v2", "cached_question": "How much did CLSTM improve accuracy over the baseline LSTM on the next sentence selection task, and on which datasets?", "cached_answer": "CLSTM achieved a 21% relative accuracy improvement on the Wikipedia dataset and an 18% improvement on the Google News dataset compared to the baseline LSTM.", "new_query": "clstm vs baseline lstm next sentence selection — accuracy gain + datasets??"}
{"pair_id": "d2_s0107_P3_v3", "cached_question": "How much did CLSTM improve accuracy over the baseline LSTM on the next sentence selection task, and on which datasets?", "cached_answer": "CLSTM achieved a 21% relative accuracy improvement on the Wikipedia dataset and an 18% improvement on the Google News dataset compared to the baseline LSTM.", "new_query": "hw much accuracy improvment did CLSTM get over the baseline LSTM on next sent selection, whch datasets"}
{"pair_id": "d2_s0107_P3_v4", "cached_question": "How much did CLSTM improve accuracy over the baseline LSTM on the next sentence selection task, and on which datasets?", "cached_answer": "CLSTM achieved a 21% relative accuracy improvement on the Wikipedia dataset and an 18% improvement on the Google News dataset compared to the baseline LSTM.", "new_query": "clstm accuracy improvment over baseline lstm, next sentence selection task, wat datasets"}
{"pair_id": "d2_s0108_N3_v1", "cached_question": "What two large-scale corpora were used to train the CLSTM and baseline LSTM models?", "cached_answer": "English documents in Wikipedia and a subset of articles from a recent snapshot of English Google News.", "new_query": "What two large-scale corpora were used to train the CLSTM and the baseline RNN models?"}
{"pair_id": "d2_s0108_N3_v2", "cached_question": "What two large-scale corpora were used to train the CLSTM and baseline LSTM models?", "cached_answer": "English documents in Wikipedia and a subset of articles from a recent snapshot of English Google News.", "new_query": "What two large-scale corpora were used to train the CLSTM and the baseline feed-forward neural language models?"}
{"pair_id": "d2_s0108_N4_v3", "cached_question": "What two large-scale corpora were used to train the CLSTM and baseline LSTM models?", "cached_answer": "English documents in Wikipedia and a subset of articles from a recent snapshot of English Google News.", "new_query": "Which small-scale corpora were used to train the CLSTM and baseline LSTM models?"}
{"pair_id": "d2_s0108_P1_v1", "cached_question": "What two large-scale corpora were used to train the CLSTM and baseline LSTM models?", "cached_answer": "English documents in Wikipedia and a subset of articles from a recent snapshot of English Google News.", "new_query": "Which two large datasets were used for training the CLSTM and the baseline LSTM models?"}
{"pair_id": "d2_s0108_P2_v1", "cached_question": "What two large-scale corpora were used to train the CLSTM and baseline LSTM models?", "cached_answer": "English documents in Wikipedia and a subset of articles from a recent snapshot of English Google News.", "new_query": "List the two large-scale corpora used to train the CLSTM and baseline LSTM models."}
{"pair_id": "d2_s0108_P2_v2", "cached_question": "What two large-scale corpora were used to train the CLSTM and baseline LSTM models?", "cached_answer": "English documents in Wikipedia and a subset of articles from a recent snapshot of English Google News.", "new_query": "For training the CLSTM and the baseline LSTM, which two large-scale corpora did the authors use?"}
{"pair_id": "d2_s0108_P2_v4", "cached_question": "What two large-scale corpora were used to train the CLSTM and baseline LSTM models?", "cached_answer": "English documents in Wikipedia and a subset of articles from a recent snapshot of English Google News.", "new_query": "Tell me which two large-scale corpora the CLSTM and baseline LSTM models were trained on."}
{"pair_id": "d2_s0111_N3_v2", "cached_question": "How does the DMN+ model differ from the original DMN in terms of training requirements, and what state-of-the-art results does it achieve?", "cached_answer": "DMN+ does not require supporting facts to be labeled during training, and it achieves state-of-the-art results on the Visual Question Answering (VQA) dataset and the bAbI-10k text QA dataset.", "new_query": "How does DMN+ differ from the End-to-End Memory Network in training requirements, and what state-of-the-art results does it achieve?"}
{"pair_id": "d2_s0111_N4_v4", "cached_question": "How does the DMN+ model differ from the original DMN in terms of training requirements, and what state-of-the-art results does it achieve?", "cached_answer": "DMN+ does not require supporting facts to be labeled during training, and it achieves state-of-the-art results on the Visual Question Answering (VQA) dataset and the bAbI-10k text QA dataset.", "new_query": "In which respect are DMN+ and the original DMN identical in training requirements?"}
{"pair_id": "d2_s0111_P1_v3", "cached_question": "How does the DMN+ model differ from the original DMN in terms of training requirements, and what state-of-the-art results does it achieve?", "cached_answer": "DMN+ does not require supporting facts to be labeled during training, and it achieves state-of-the-art results on the Visual Question Answering (VQA) dataset and the bAbI-10k text QA dataset.", "new_query": "How is DMN+ different from the original DMN in what it needs for training, and where does it set the state of the art?"}
{"pair_id": "d2_s0111_P1_v4", "cached_question": "How does the DMN+ model differ from the original DMN in terms of training requirements, and what state-of-the-art results does it achieve?", "cached_answer": "DMN+ does not require supporting facts to be labeled during training, and it achieves state-of-the-art results on the Visual Question Answering (VQA) dataset and the bAbI-10k text QA dataset.", "new_query": "What makes DMN+'s training needs different from the original DMN's, and which state-of-the-art scores does it achieve?"}
{"pair_id": "d2_s0111_P2_v1", "cached_question": "How does the DMN+ model differ from the original DMN in terms of training requirements, and what state-of-the-art results does it achieve?", "cached_answer": "DMN+ does not require supporting facts to be labeled during training, and it achieves state-of-the-art results on the Visual Question Answering (VQA) dataset and the bAbI-10k text QA dataset.", "new_query": "Describe the training-requirement difference between DMN+ and the original DMN, plus the state-of-the-art results DMN+ achieves."}
