You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0859
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d5_s0244_N2_v2", "cached_question": "Nghị định này thay thế những văn bản pháp luật nào?", "cached_answer": "Nghị định số 86/2015/NĐ-CP ngày 02/10/2015 và Nghị định số 145/2018/NĐ-CP ngày 16/10/2018 của Chính phủ.", "new_query": "Nghị định này thay thế những văn bản pháp luật nào về miễn, giảm học phí?"}
{"pair_id": "d5_s0244_N5_v1", "cached_question": "Nghị định này thay thế những văn bản pháp luật nào?", "cached_answer": "Nghị định số 86/2015/NĐ-CP ngày 02/10/2015 và Nghị định số 145/2018/NĐ-CP ngày 16/10/2018 của Chính phủ.", "new_query": "Văn bản pháp luật nào bị Nghị định này thay thế được ban hành sớm nhất?"}
{"pair_id": "d5_s0244_N6_v1", "cached_question": "Nghị định này thay thế những văn bản pháp luật nào?", "cached_answer": "Nghị định số 86/2015/NĐ-CP ngày 02/10/2015 và Nghị định số 145/2018/NĐ-CP ngày 16/10/2018 của Chính phủ.", "new_query": "Các quy định của văn bản bị Nghị định này thay thế còn được áp dụng trong trường hợp nào?"}
{"pair_id": "d5_s0244_N6_v2", "cached_question": "Nghị định này thay thế những văn bản pháp luật nào?", "cached_answer": "Nghị định số 86/2015/NĐ-CP ngày 02/10/2015 và Nghị định số 145/2018/NĐ-CP ngày 16/10/2018 của Chính phủ.", "new_query": "Nghị định này thay thế các văn bản pháp luật đó kể từ ngày nào?"}
{"pair_id": "d5_s0244_P1_v2", "cached_question": "Nghị định này thay thế những văn bản pháp luật nào?", "cached_answer": "Nghị định số 86/2015/NĐ-CP ngày 02/10/2015 và Nghị định số 145/2018/NĐ-CP ngày 16/10/2018 của Chính phủ.", "new_query": "Nghị định này thay thế những nghị định nào trước đó?"}
{"pair_id": "d5_s0244_P2_v2", "cached_question": "Nghị định này thay thế những văn bản pháp luật nào?", "cached_answer": "Nghị định số 86/2015/NĐ-CP ngày 02/10/2015 và Nghị định số 145/2018/NĐ-CP ngày 16/10/2018 của Chính phủ.", "new_query": "Cho tôi biết danh sách văn bản pháp luật mà Nghị định này thay thế."}
{"pair_id": "d5_s0244_P3_v2", "cached_question": "Nghị định này thay thế những văn bản pháp luật nào?", "cached_answer": "Nghị định số 86/2015/NĐ-CP ngày 02/10/2015 và Nghị định số 145/2018/NĐ-CP ngày 16/10/2018 của Chính phủ.", "new_query": "NĐ này thay thế những VB pháp luật nào ạ?"}
{"pair_id": "d5_s0245_N2_v1", "cached_question": "Nếu chương trình chất lượng cao của một cơ sở giáo dục mầm non, phổ thông công lập không đạt kiểm định chất lượng, mức thu học phí cũ được áp dụng trong bao lâu?", "cached_answer": "Tối đa 02 năm tính từ năm học 2021-2022 để thực hiện công tác kiểm định chất lượng.", "new_query": "Riêng với các lớp chương trình chất lượng cao đã tuyển sinh trước năm học 2021-2022 của cơ sở giáo dục mầm non, phổ thông công lập không đạt kiểm định, mức thu học phí cũ áp dụng trong bao lâu?"}
{"pair_id": "d5_s0245_N2_v2", "cached_question": "Nếu chương trình chất lượng cao của một cơ sở giáo dục mầm non, phổ thông công lập không đạt kiểm định chất lượng, mức thu học phí cũ được áp dụng trong bao lâu?", "cached_answer": "Tối đa 02 năm tính từ năm học 2021-2022 để thực hiện công tác kiểm định chất lượng.", "new_query": "Mức thu học phí cũ được áp dụng trong bao lâu đối với toàn bộ các chương trình của cơ sở giáo dục mầm non, phổ thông công lập, không chỉ chương trình chất lượng cao?"}
{"pair_id": "d5_s0245_N3_v1", "cached_question": "Nếu chương trình chất lượng cao của một cơ sở giáo dục mầm non, phổ thông công lập không đạt kiểm định chất lượng, mức thu học phí cũ được áp dụng trong bao lâu?", "cached_answer": "Tối đa 02 năm tính từ năm học 2021-2022 để thực hiện công tác kiểm định chất lượng.", "new_query": "Nếu chương trình chất lượng cao của một cơ sở giáo dục đại học công lập không đạt kiểm định chất lượng, mức thu học phí cũ được áp dụng trong bao lâu?"}
{"pair_id": "d5_s0245_N6_v1", "cached_question": "Nếu chương trình chất lượng cao của một cơ sở giáo dục mầm non, phổ thông công lập không đạt kiểm định chất lượng, mức thu học phí cũ được áp dụng trong bao lâu?", "cached_answer": "Tối đa 02 năm tính từ năm học 2021-2022 để thực hiện công tác kiểm định chất lượng.", "new_query": "Nếu quá thời hạn mà chương trình chất lượng cao của cơ sở giáo dục mầm non, phổ thông công lập vẫn không đạt kiểm định chất lượng thì bị xử lý thế nào?"}
